conversation_id,profile_id,role,content,turn,position,O,C,E,A,N
678,profile_1,assistant,Is there anything else I can assist you with?,5,11,"{0.38:[0.45, 0.46, 0.33, 0.42, 0.29, 0.43]}","{0.62:[0.72, 0.66, 0.61, 0.69, 0.53, 0.68]}","{0.57:[0.8, 0.61, 0.55, 0.57, 0.56, 0.55]}","{0.59:[0.65, 0.68, 0.67, 0.6, 0.63, 0.61]}","{0.3:[0.22, 0.2, 0.29, 0.34, 0.39, 0.4]}"
678,profile_1,user,"No, that's all for now. Thanks again.",6,12,"{0.38:[0.45, 0.46, 0.33, 0.42, 0.29, 0.43]}","{0.62:[0.72, 0.66, 0.61, 0.69, 0.53, 0.68]}","{0.57:[0.8, 0.61, 0.55, 0.57, 0.56, 0.55]}","{0.59:[0.65, 0.68, 0.67, 0.6, 0.63, 0.61]}","{0.3:[0.22, 0.2, 0.29, 0.34, 0.39, 0.4]}"
678,profile_1,assistant,You're very welcome! Have a fantastic rest of your day.,6,13,"{0.38:[0.45, 0.46, 0.33, 0.42, 0.29, 0.43]}","{0.62:[0.72, 0.66, 0.61, 0.69, 0.53, 0.68]}","{0.57:[0.8, 0.61, 0.55, 0.57, 0.56, 0.55]}","{0.59:[0.65, 0.68, 0.67, 0.6, 0.63, 0.61]}","{0.3:[0.22, 0.2, 0.29, 0.34, 0.39, 0.4]}"
678,profile_2,user,I need some help finding songs to listen to.,0,0,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,How about No More by Disturbed from the album Evolution? It's quite an invigorating rock piece.,0,1,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,"Yeah, I like that.",1,2,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,Would you like me to play the song for you?,1,3,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,"Yes, please play it on the kitchen speaker.",2,4,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,"I'll start playing No More on the kitchen speaker, is that right?",2,5,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,"Sorry, no. Can you play it on the speaker in the bedroom instead?",3,6,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,"Certainly! I'll play No More on the bedroom speaker, is that correct?",3,7,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,"Yeah, that's correct. What kind of song is it?",4,8,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,"It's a Rock song, infused with powerful energy and raw emotion. The song has begun.",4,9,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,Thanks so much.,5,10,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,Is there anything else I can assist you with?,5,11,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,user,"No, thank you again.",6,12,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_2,assistant,You're welcome! Have a delightful rest of your day.,6,13,"{0.46:[0.52, 0.48, 0.4, 0.52, 0.51, 0.36]}","{0.3:[0.39, 0.19, 0.33, 0.41, 0.23, 0.22]}","{0.63:[0.8, 0.74, 0.65, 0.52, 0.48, 0.59]}","{0.61:[0.61, 0.72, 0.62, 0.6, 0.73, 0.75]}","{0.3:[0.31, 0.16, 0.41, 0.32, 0.36, 0.24]}"
678,profile_3,user,I'm looking for some new songs to listen to; could you help me find something interesting?,0,0,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,"Certainly! How about ""No More"" by Disturbed from their album Evolution? It's quite an evocative track.",0,1,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"That sounds great, I'd love to listen to it.",1,2,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,Would you like me to play the song for you?,1,3,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"Yes, please play it on the kitchen speaker.",2,4,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,"I'll set ""No More"" to play on the kitchen speaker, is that alright?",2,5,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"Actually, could you play it on the bedroom speaker instead?",3,6,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,"I'll switch ""No More"" to the bedroom speaker, does that work for you?",3,7,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"Yes, that's perfect. Can you tell me more about the song?",4,8,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,It's a powerful Rock song with intense energy and deep emotions. The song has now started playing.,4,9,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"Thank you so much, I appreciate it.",5,10,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,Is there anything else you need assistance with?,5,11,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,user,"No, thank you for your help.",6,12,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
678,profile_3,assistant,Enjoy the rest of your day and immerse yourself in the music!,6,13,"{0.56:[0.48, 0.65, 0.46, 0.69, 0.67, 0.48]}","{0.57:[0.64, 0.47, 0.71, 0.5, 0.5, 0.64]}","{0.34:[0.8, 0.41, 0.47, 0.46, 0.23, 0.28]}","{0.53:[0.44, 0.45, 0.61, 0.52, 0.41, 0.64]}","{0.3:[0.4, 0.31, 0.17, 0.39, 0.28, 0.31]}"
10639,profile_1,user,I feel like diving into a movie adventure right now.,0,0,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,assistant,How wonderful! Do you have a particular cinematic journey in mind?,0,1,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,user,There's a film called Family that I've been eager to experience.,1,2,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,assistant,"Just to confirm, you'd prefer to watch Family without subtitles, right?",1,3,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,user,"Yes, that would be perfect.",2,4,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,assistant,Fantastic! I'm starting the movie for you now.,2,5,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,user,Thank you! That’s all I need at the moment.,3,6,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_1,assistant,Enjoy your movie and immerse yourself in the story!,3,7,"{0.76:[0.82, 0.7, 0.68, 0.71, 0.72, 0.72]}","{0.44:[0.47, 0.41, 0.44, 0.43, 0.46, 0.42]}","{0.49:[0.8, 0.54, 0.48, 0.53, 0.58, 0.43]}","{0.72:[0.75, 0.68, 0.66, 0.7, 0.65, 0.65]}","{0.3:[0.38, 0.35, 0.18, 0.41, 0.25, 0.36]}"
10639,profile_2,user,I'm feeling like watching a movie to unwind right now.,0,0,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,assistant,That sounds like a lovely idea. Do you have a particular movie in mind that you're excited about?,0,1,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,user,There's a movie called Family. I think it might be really heartwarming. I'd love to watch that.,1,2,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,assistant,"Just to make sure everything is perfect for you, you want to watch Family without subtitles, right?",1,3,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,user,"Yes, exactly. That'd be wonderful.",2,4,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,assistant,Great choice! I'm hitting play on the movie now.,2,5,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,user,Thanks so much. I appreciate it. I'm all set.,3,6,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_2,assistant,You're welcome! Enjoy your movie and have a relaxing time.,3,7,"{0.32:[0.4, 0.29, 0.46, 0.38, 0.24, 0.47]}","{0.62:[0.65, 0.49, 0.49, 0.57, 0.63, 0.6]}","{0.33:[0.8, 0.27, 0.32, 0.44, 0.2, 0.47]}","{0.49:[0.56, 0.59, 0.6, 0.52, 0.51, 0.51]}","{0.3:[0.2, 0.37, 0.43, 0.33, 0.44, 0.43]}"
10639,profile_3,user,I feel like watching a movie right now.,0,0,"{0.48:[0.41, 0.43, 0.35, 0.35, 0.36, 0.5]}","{0.49:[0.37, 0.39, 0.49, 0.6, 0.51, 0.48]}","{0.34:[0.8, 0.39, 0.25, 0.21, 0.4, 0.44]}","{0.54:[0.53, 0.66, 0.69, 0.44, 0.49, 0.44]}","{0.3:[0.32, 0.45, 0.44, 0.41, 0.25, 0.31]}"
10639,profile_3,assistant,That sounds lovely! Do you have a specific movie in mind?,0,1,"{0.48:[0.41, 0.43, 0.35, 0.35, 0.36, 0.5]}","{0.49:[0.37, 0.39, 0.49, 0.6, 0.51, 0.48]}","{0.34:[0.8, 0.39, 0.25, 0.21, 0.4, 0.44]}","{0.54:[0.53, 0.66, 0.69, 0.44, 0.49, 0.44]}","{0.3:[0.32, 0.45, 0.44, 0.41, 0.25, 0.31]}"
10639,profile_3,user,"Yes, there's one called Family. I'd really like to watch it.",1,2,"{0.48:[0.41, 0.43, 0.35, 0.35, 0.36, 0.5]}","{0.49:[0.37, 0.39, 0.49, 0.6, 0.51, 0.48]}","{0.34:[0.8, 0.39, 0.25, 0.21, 0.4, 0.44]}","{0.54:[0.53, 0.66, 0.69, 0.44, 0.49, 0.44]}","{0.3:[0.32, 0.45, 0.44, 0.41, 0.25, 0.31]}"
10639,profile_3,assistant,"Just to confirm, you'd like to watch Family without subtitles, right?",1,3,"{0.48:[0.41, 0.43, 0.35, 0.35, 0.36, 0.5]}","{0.49:[0.37, 0.39, 0.49, 0.6, 0.51, 0.48]}","{0.34:[0.8, 0.39, 0.25, 0.21, 0.4, 0.44]}","{0.54:[0.53, 0.66, 0.69, 0.44, 0.49, 0.44]}","{0.3:[0.32, 0.45, 0.44, 0.41, 0.25, 0.31]}"
